id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
701227	Bình Nước Lock&Lock Eco ABF644 (550ml)	119000	12	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình, ca đựng nước/Bình đựng nước	Lock&Lock	4486591790142		https://salt.tikicdn.com/cache/280x280/media/catalog/product/a/b/abf644grn-1.u2566.d20170627.t154240.75010.jpg
13568317	Hộp cơm giữ nhiệt Lock&Lock LHC8029 (500ml)	298000	2	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Hộp đựng thực phẩm	Lock&Lock	5979223936623		https://salt.tikicdn.com/cache/280x280/ts/product/e1/30/7c/5481852a0d93d4af23f5e0870d2b3ffa.png
52145781	Bàn Trà Cafe, Bàn Trà Sofa Phong Cách Bắc Âu Thương Hiệu IGEA	160000	120	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng khách/Bàn sofa/salon	IGA	4938219105826		https://salt.tikicdn.com/cache/280x280/ts/product/9b/9e/17/40859d156593adc706772a7c0573c10e.jpg
74259487	Ghế lưới xoay văn phòng - Lắp sẵn - TI-GX01	539000	72	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Bàn ghế làm việc	OEM	6141727871284		https://salt.tikicdn.com/cache/280x280/ts/product/e0/26/39/09f35a62c0ec7159fbab82a10c2533c4.jpg
71288304	Chảo nhôm chống dính đáy từ Elmich EL-3830 đường kính 20cm - Hành chính hãng	343000	2	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Nồi và chảo/Chảo các loại	Elmich	4517276988360		https://salt.tikicdn.com/cache/280x280/ts/product/0d/58/84/668a08cb8e94295469cfdce9d876dead.jpg
748767	Kệ Nhà Bếp Thông Minh Tashuan TS-3623 (52 x 25 cm) - Hàng Chính Hãng	89000	972	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Kệ nhà bếp	Tashuan	4126222944444		https://salt.tikicdn.com/cache/280x280/media/catalog/product/k/e/ke--1-.u3059.d20170921.t174909.502999.jpg
54465976	Cốc Gấu đựng bàn chải, kem đánh răng	17900	60	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Kệ nhà tắm	OEM	3615333441658		https://salt.tikicdn.com/cache/280x280/ts/product/82/0d/bf/03b8d263aa48069521ac4bdca0663e5a.jpg
84736536	Máy Xay Tỏi, Ớt Mini Bằng Điện - Pin Sạc - 45W	120000	3	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Phụ kiện nhà bếp/Dụng cụ xay, giã	OEM	1947852240409		https://salt.tikicdn.com/cache/280x280/ts/product/d4/f8/83/9dfe7fdd4ce0f4ec1878fd44db199b66.jpg
1535039	Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Loop Tumbler LHC4154BLU (620ml) - Xanh	269000	54	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	3658523734383		https://salt.tikicdn.com/cache/280x280/ts/product/a9/16/6e/d55340b17ae79e676cca0ecabf93adc2.jpg
53626357	Van Nước 2 cổng xả có điều khiển riêng biệt dạng vòi chia nước. Đường kính van 20mm, Chất liệu bằng Inox 	135000	50	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Thiết bị phòng tắm/Vòi nước các loại	Dan House	3850819748894		https://salt.tikicdn.com/cache/280x280/ts/product/6a/99/fb/fdff811c935506f3f8e689230c44a200.jpg
58852893	Bình giữ nhiệt Lock&Lock Metro Double LHC4202	290000	87	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	2590771621057		https://salt.tikicdn.com/cache/280x280/ts/product/e3/a5/5a/3b0f1b9bfad906b49056cc3bbad56fd6.jpg
78941957	Kệ Sách . Kệ Trang Trí Tổ Ong  Đa Tầng Convent 234F - GP100	136000	74	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Tủ, kệ sách	OEM	2493931905800		https://salt.tikicdn.com/cache/280x280/ts/product/05/18/8e/d868b792f128694f84065a2f04885cce.png
22222951	Ổ Cắm Điện Đa Năng Kèm Đèn Ngủ, Có Cổng Sạc Điện Thoại Màu Ngẫu Nhiên	48920	5	Nhà Cửa - Đời Sống/Dụng cụ & Thiết bị tiện ích/Ổ cắm, ổn áp, biến áp	OEM	7173702640874		https://salt.tikicdn.com/cache/280x280/ts/product/19/34/43/289cf6e8f1e453294d3f2d7a61ce46b4.jpg
30008695	Vĩ 5 viên pin Maxell dòng cao cấp CR2032	33000	34	Nhà Cửa - Đời Sống/Dụng cụ & Thiết bị tiện ích/Pin và dụng cụ sạc pin/Pin tiểu, pin sạc	Maxell	7729336424252		https://salt.tikicdn.com/cache/280x280/ts/product/f1/2f/5d/41de0a39018d7c1cb42ddd53fdeddb9f.jpg
62231649	Combo 3 cặp thanh chắn khe cửa (ron chắn khe cửa) chống thoát hơi máy lạnh, máy điều hòa	64000	0	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Dụng cụ sửa chữa khác/Khác	OEM	6840385438104		https://salt.tikicdn.com/cache/280x280/ts/product/21/38/ab/5ff9470479d51934ad57883feabbe809.jpg
90597884	Bàn Học Bàn Làm Việc Ngồi Bệt Model 1 Thông Minh - GP116	269000	28	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Bàn học sinh	IGA	5107607645749		https://salt.tikicdn.com/cache/280x280/ts/product/bf/bf/c8/f50fe1a14fb2be4282c744b26677bbaa.png
